clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,technique,technique_class,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,note_onset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,midi_path,audio_path,analysis_tier
delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n120_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,0.25,0.75,8458477227344880367,20260826,delayed_A4-cc1p0_n120-off0025-pizzicato-rep01,1,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n120_off0025.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n120_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n120_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,0.25,0.75,5440208574761525215,20260826,delayed_A4-cc1p0_n120-off0025-pizzicato-rep02,2,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n120_off0025.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n120_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n120_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,0.25,0.75,8458477227344880367,20260826,delayed_A4-cc1p0_n120-off0025-pizzicato-rep01,1,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n120_off0025.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n120_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n120_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,0.25,0.75,5440208574761525215,20260826,delayed_A4-cc1p0_n120-off0025-pizzicato-rep02,2,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n120_off0025.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n120_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-f__p-cc1p0_n120_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,f,64,96,0.25,0.75,8458477227344880367,20260826,delayed_A4-cc1p0_n120-off0025-pizzicato-rep01,1,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-f__p-cc1p0_n120_off0025.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-f__p-cc1p0_n120_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-f__p-cc1p0_n120_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,f,64,96,0.25,0.75,5440208574761525215,20260826,delayed_A4-cc1p0_n120-off0025-pizzicato-rep02,2,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-f__p-cc1p0_n120_off0025.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-f__p-cc1p0_n120_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n120_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,1.75,0.75,4433515507369688577,20260826,delayed_A4-cc1p0_n120-off0175-pizzicato-rep01,1,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n120_off0175.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n120_off0175.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n120_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,1.75,0.75,1193850616924761344,20260826,delayed_A4-cc1p0_n120-off0175-pizzicato-rep02,2,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n120_off0175.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n120_off0175.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n120_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,1.75,0.75,4433515507369688577,20260826,delayed_A4-cc1p0_n120-off0175-pizzicato-rep01,1,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n120_off0175.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n120_off0175.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n120_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,1.75,0.75,1193850616924761344,20260826,delayed_A4-cc1p0_n120-off0175-pizzicato-rep02,2,1.0,1.0,120,data/midi/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n120_off0175.mid,data/model_audio/config_robustness/cc1p0_n120/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n120_off0175.wav,generator_only_exploratory
