clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,technique,technique_class,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,note_onset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,midi_path,audio_path,analysis_tier
delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n030_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,0.25,0.75,6500105984668990657,20260826,delayed_A4-cc1p0_n030-off0025-pizzicato-rep01,1,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n030_off0025.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n030_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n030_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,0.25,0.75,8906058177565161823,20260826,delayed_A4-cc1p0_n030-off0025-pizzicato-rep02,2,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n030_off0025.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n030_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n030_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,0.25,0.75,6500105984668990657,20260826,delayed_A4-cc1p0_n030-off0025-pizzicato-rep01,1,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n030_off0025.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n030_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n030_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,0.25,0.75,8906058177565161823,20260826,delayed_A4-cc1p0_n030-off0025-pizzicato-rep02,2,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n030_off0025.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n030_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-f__p-cc1p0_n030_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,f,64,96,0.25,0.75,6500105984668990657,20260826,delayed_A4-cc1p0_n030-off0025-pizzicato-rep01,1,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-f__p-cc1p0_n030_off0025.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-f__p-cc1p0_n030_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-f__p-cc1p0_n030_off0025,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,f,64,96,0.25,0.75,8906058177565161823,20260826,delayed_A4-cc1p0_n030-off0025-pizzicato-rep02,2,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-f__p-cc1p0_n030_off0025.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-f__p-cc1p0_n030_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n030_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,1.75,0.75,757468900045654146,20260826,delayed_A4-cc1p0_n030-off0175-pizzicato-rep01,1,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n030_off0175.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-p__p-cc1p0_n030_off0175.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n030_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,p,64,32,1.75,0.75,8141794682849623232,20260826,delayed_A4-cc1p0_n030-off0175-pizzicato-rep02,2,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n030_off0175.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-p__p-cc1p0_n030_off0175.wav,generator_only_exploratory
delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n030_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,1.75,0.75,757468900045654146,20260826,delayed_A4-cc1p0_n030-off0175-pizzicato-rep01,1,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n030_off0175.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep01__t-pizzicato__d-mf__p-cc1p0_n030_off0175.wav,generator_only_exploratory
delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n030_off0175,model,VIOLET,delayed,config_robustness,delayed_A4,delayed_long,mid,pizzicato,released,43,mf,64,64,1.75,0.75,8141794682849623232,20260826,delayed_A4-cc1p0_n030-off0175-pizzicato-rep02,2,1.0,1.0,30,data/midi/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n030_off0175.mid,data/model_audio/config_robustness/cc1p0_n030/delayed_A4-rep02__t-pizzicato__d-mf__p-cc1p0_n030_off0175.wav,generator_only_exploratory
