clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,technique,technique_class,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,note_onset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,midi_path,audio_path,analysis_tier
delayed_A4-rep01__t-sustain__d-p__p-wc2p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,1459841045578713982,20260826,delayed_A4-wc2p0-off0025-sustain-rep01,1,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-p__p-wc2p0_off0025.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-p__p-wc2p0_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-sustain__d-p__p-wc2p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,7936146709984498003,20260826,delayed_A4-wc2p0-off0025-sustain-rep02,2,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-p__p-wc2p0_off0025.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-p__p-wc2p0_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-sustain__d-mf__p-wc2p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,mf,64,64,0.25,0.75,1459841045578713982,20260826,delayed_A4-wc2p0-off0025-sustain-rep01,1,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-mf__p-wc2p0_off0025.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-mf__p-wc2p0_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-sustain__d-mf__p-wc2p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,mf,64,64,0.25,0.75,7936146709984498003,20260826,delayed_A4-wc2p0-off0025-sustain-rep02,2,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-mf__p-wc2p0_off0025.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-mf__p-wc2p0_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-sustain__d-f__p-wc2p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,f,64,96,0.25,0.75,1459841045578713982,20260826,delayed_A4-wc2p0-off0025-sustain-rep01,1,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-f__p-wc2p0_off0025.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-f__p-wc2p0_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-sustain__d-f__p-wc2p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,f,64,96,0.25,0.75,7936146709984498003,20260826,delayed_A4-wc2p0-off0025-sustain-rep02,2,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-f__p-wc2p0_off0025.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-f__p-wc2p0_off0025.wav,generator_only_exploratory
delayed_A4-rep01__t-sustain__d-p__p-wc2p0_off0050,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.5,0.75,2011894686857641595,20260826,delayed_A4-wc2p0-off0050-sustain-rep01,1,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-p__p-wc2p0_off0050.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-p__p-wc2p0_off0050.wav,generator_only_exploratory
delayed_A4-rep02__t-sustain__d-p__p-wc2p0_off0050,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.5,0.75,5095002244395741587,20260826,delayed_A4-wc2p0-off0050-sustain-rep02,2,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-p__p-wc2p0_off0050.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-p__p-wc2p0_off0050.wav,generator_only_exploratory
delayed_A4-rep01__t-sustain__d-mf__p-wc2p0_off0050,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,mf,64,64,0.5,0.75,2011894686857641595,20260826,delayed_A4-wc2p0-off0050-sustain-rep01,1,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-mf__p-wc2p0_off0050.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep01__t-sustain__d-mf__p-wc2p0_off0050.wav,generator_only_exploratory
delayed_A4-rep02__t-sustain__d-mf__p-wc2p0_off0050,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,mf,64,64,0.5,0.75,5095002244395741587,20260826,delayed_A4-wc2p0-off0050-sustain-rep02,2,1.0,2.0,30,data/midi/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-mf__p-wc2p0_off0050.mid,data/model_audio/delayed_sweep/wc2p0/delayed_A4-rep02__t-sustain__d-mf__p-wc2p0_off0050.wav,generator_only_exploratory
