clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,technique,technique_class,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,note_onset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,midi_path,audio_path,analysis_tier
delayed_A4-rep01__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,6640839125906705195,20260826,delayed_A4-wc1p0-off0025-sustain-rep01,1,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep01__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep01__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep02__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,8939345302110486063,20260826,delayed_A4-wc1p0-off0025-sustain-rep02,2,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep02__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep02__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep03__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,643128204383694312,20260826,delayed_A4-wc1p0-off0025-sustain-rep03,3,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep03__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep03__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep04__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,7350069351156598567,20260826,delayed_A4-wc1p0-off0025-sustain-rep04,4,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep04__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep04__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep05__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,8961664470593029272,20260826,delayed_A4-wc1p0-off0025-sustain-rep05,5,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep05__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep05__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep06__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,5981671307659985313,20260826,delayed_A4-wc1p0-off0025-sustain-rep06,6,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep06__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep06__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep07__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,1625824121686997688,20260826,delayed_A4-wc1p0-off0025-sustain-rep07,7,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep07__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep07__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep08__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,3601167166892299625,20260826,delayed_A4-wc1p0-off0025-sustain-rep08,8,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep08__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep08__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep09__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,2853044261370710815,20260826,delayed_A4-wc1p0-off0025-sustain-rep09,9,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep09__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep09__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep10__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,3230308247462383992,20260826,delayed_A4-wc1p0-off0025-sustain-rep10,10,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep10__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep10__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep11__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,6951476950860344204,20260826,delayed_A4-wc1p0-off0025-sustain-rep11,11,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep11__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep11__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep12__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,8526216257736312484,20260826,delayed_A4-wc1p0-off0025-sustain-rep12,12,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep12__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep12__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
delayed_A4-rep13__t-sustain__d-p__p-wc1p0_off0025,model,VIOLET,delayed,delayed_sweep,delayed_A4,delayed_long,mid,sustain,sustained,36,p,64,32,0.25,0.75,3475853235074370919,20260826,delayed_A4-wc1p0-off0025-sustain-rep13,13,1.0,1.0,30,data/midi/delayed_sweep/wc1p0/delayed_A4-rep13__t-sustain__d-p__p-wc1p0_off0025.mid,data/model_audio/delayed_sweep/wc1p0/delayed_A4-rep13__t-sustain__d-p__p-wc1p0_off0025.wav,generator_only_exploratory
